name,iso_country,municipality,iata_code
Andorra la Vella Heliport,AD,Andorra La Vella,ALV
Andakombe Airport,PG,Andekombe,ADC
El Daein Airport,SD,El Daein,ADV
Jebel Ali Seaplane Base,AE,Jebel Ali,DJH
Adareil Airport,SS,-,AEE
Algeciras Heliport,ES,Algeciras,AEI
Aseki Airport,PG,Aseki,AEK
Ar Horqin Airport,CN,Chifeng,AEQ
OrÅ«zgÄn Airport,AF,OrÅ«zgÄn,URZ
Salerno Airport,AF,Khost,OLR
Kondavattavana Tank Seaplane Base,LK,Ampara,AFK
Afore Airstrip,PG,-,AFR
Afutara Aerodrome,SB,Bila,AFT
Ulawa Airport,SB,Arona,RNA
Uru Harbour Airport,SB,Atoifi,ATD
Barakoma Airport,SB,Barakoma,VEV
Geva Airport,SB,Liangia,GEF
Angoram Airport,PG,Angoram,AGG
Gwaunaru'u Airport,SB,Auki,AKS
Bellona/Anua Airport,SB,Anua,BNY
Choiseul Bay Airport,SB,-,CHY
Ballalae Airport,SB,Ballalae,BAS
Fera/Maringe Airport,SB,Fera Island,FRE
Honiara International Airport,SB,Honiara,HIR
Babanakira Airport,SB,Mbambanakira,MBU
Avu Avu Airport,SB,-,AVU
Ngorangora Airport,SB,Kirakira,IRA
Santa Cruz/Graciosa Bay/Luova Airport,SB,Santa Cruz/Graciosa Bay/Luova,SCZ
Munda Airport,SB,-,MUA
Nusatupe Airport,SB,Gizo,GZO
Mono Airport,SB,Stirling Island,MNY
Parasi Airport,SB,Parasi,PRS
Ontong Java Atoll Airstrip,SB,Ontong Java Atoll,OTV
Rennell/Tingoa Airport,SB,Rennell Island,RNL
Sege Airport,SB,Sege,EGM
Santa Ana Airport,SB,Santa Ana Island,NNB
Marau Airport,SB,Marau,RUS
Suavanao Airport,SB,Suavanao,VAO
Yandina Airport,SB,Yandina,XYA
Kagua Airport,PG,Kagua,AGK
Kaghau Airport,SB,Kagau Island,KGE
Kukudu Airport,SB,Kolombangara Island,KUE
Kwailabesi Airport,SB,Kwailabesi,KWS
Wanigela Airport,PG,-,AGL
Nana Airport,SB,Star Harbor,NAZ
Ringi Cove Airport,SB,Ringi Cove,RIN
Ramata Airport,SB,Ramata,RBV
Tulaghi Heliport,SB,Tulaghi Island,TLG
Argyle Downs Airport,AU,Argyle Downs,AGY
Hongyuan Airport,CN,Aba,AHJ
Amchitka Army Airfield,US,Amchitka Island,AHT
Ambatolhy Airport,MG,Ambatolahy,AHY
Aiome Airport,PG,Aiome,AIE
Aiambak Airport,PG,Aiambak,AIH
Ailinglaplap Airok Airport,MH,Bigatyelang Island,AIC
Chena Hot Springs Airport,US,Chena Hot Springs,CEX
Solomon State Field,US,Solomon,SOL
Herendeen Bay Airport,US,Herendeen Bay,HED
Taylor Airport,US,Taylor,TWE
Tikchik Lodge Seaplane Base,US,Tikchik,KTH
Naukati Bay Seaplane Base,US,Tuxekan Island,NKI
Lonely Air Station,US,Lonely,LNI
Candle 2 Airport,US,Candle,CDL
Amook Bay Seaplane Base,US,Amook Bay,AOS
Bartletts Airport,US,Egegik,BSZ
Boswell Bay Airport,US,Boswell Bay,BSW
Zakuoma Airport,TD,ZaKouma,AKM
Sharpe Field,US,Tuskegee,TGE
Alitak Seaplane Base,US,Lazy Bay,ALZ
Mar de CortÃ©s International Airport,MX,Puerto PeÃ±asco,PPE
Alto Molocue Airport,MZ,Alto Molocue,AME
Ama Airport,PG,-,AMF
Amanab Airport,PG,Amanab,AMU
Ambatomainty Airport,MG,-,AMY
Anuha Island Resort Airport,SB,Anhua Island,ANH
Nauru International Airport,NR,Yaren District,INU
Angus Downs Airport,AU,Angus Downs Station,ANZ
Andulo Airport,AO,-,ANL
Cangamba Airport,AO,Cangamba,CNZ
Dirico Airport,AO,Dirico,DRC
Lumbala Airport,AO,Lumbala,GGC
Jamba Airport,AO,Jamba,JMB
Capanda Airport,AO,Capanda,KNP
Ndalatandos Airport,AO,Ndalatandos,NDF
Aroa Airport,PG,Agevairu,AOA
Annanberg Airport,PG,-,AOB
Abou-DeÃ¯a Airport,TD,Abou-DeÃ¯a,AOD
Asapa Airport,PG,-,APP
April River Airport,PG,April River,APR
Troll Airfield,AQ,Troll Station,QET
Girdwood Airport,US,Girdwood,AQY
Bragado Airport,AR,Bragado,QRF
Caleta Olivia Airport,AR,Caleta Olivia,CVI
Charata Airport,AR,Charata,CNT
General Villegas Airport,AR,General Villegas,VGS
Los Menucos Airport,AR,Los Menucos,LMD
Saenz PeÃ±a Airport,AR,Presidencia Roque SÃ¡enz PeÃ±a,SZQ
Valcheta Airport,AR,Valcheta,VCF
Sunchales Aeroclub Airport,AR,Sunchales,NCJ
Carmen De Patagones Airport,AR,Carmen de Patagones,CPG
Termal Airport,AR,Presidencia Roque SÃ¡enz PeÃ±a,PRQ
Colonia Sarmiento Airport,AR,Sarmiento,OLN
Aragip Airport,PG,-,ARP
Asbury Park Neptune Air Terminal,US,Asbury Park,ARX
Tau Airport,AS,Tau Village,TAV
Asirim Airport,PG,-,ASZ
Namatanai Airport,PG,Namatanai,ATN
Aitape Airport,PG,Aitape,ATP
Lady Elliot Island Airstrip,AU,Lady Elliot Island,LYT
Agnew Airport,AU,Agnew,AGW
Alroy Downs Airport,AU,Alroy Downs,AYD
Baniyala Airport,AU,Baniyala,BYX
Coolibah Airport,AU,Coolibah,COB
Coorabie Airport,AU,Coorabie,CRJ
Carlton Hill Airport,AU,Carlton Hill,CRY
Cresswell Downs Airport,AU,Cresswell Downs,CSD
Diamantina Lakes Airport,AU,Diamantina Lakes,DYM
Hayman Island Resort Seaplane Base,AU,Hayman Island,HIS
Helenvale Airport,AU,Helenvale,HLV
Kimberley Downs Airport,AU,Kimberley Downs,KBD
Kulgera Airport,AU,Kulgera,KGR
Miranda Downs Airport,AU,Miranda Downs,MWY
Camballin Airport,AU,Myroodah,MYO
Orchid Beach Airport,AU,Orchid Beach,OKB
Peppimenarti Airport,AU,Peppimenarti,PEP
Rockhampton Downs Airport,AU,Rockhampton Downs,RDA
Sturt Creek Airport,AU,Sturt Creek,SSK
Shaw River Airport,AU,Shaw River,SWB
Tom Price Airport,AU,Tom Price,TPR
Torwood Airport,AU,Torwood,TWP
Springvale Airport,AU,Springvale,ZVG
Aua Island Airport,PG,Aua Island,AUI
Ambunti Airport,PG,Ambunti,AUJ
Agaun Airport,PG,-,AUP
Aumo Airport,PG,Aumo,AUV
Alowe Airport,GA,Wonga WonguÃ© Presidential Reserve,AWE
Awar Airport,PG,Awar,AWR
Alxa Left Banner Bayanhot Airport,CN,Bayanhot,AXF
Kompiam Airport,PG,-,KPM
Buka Airport,PG,Buka Island,BUA
Biaru Airport,PG,Biaru,BRP
Chimbu Airport,PG,Kundiawa,CMU
Munduku Airport,PG,Munduku,MDM
Kondobol Airport,PG,Kondobol,KPF
Dinangat Airport,PG,Dinangat,DNU
Doini Airport,PG,Castori Islets,DOI
Daru Airport,PG,Daru,DAU
Embessa Airport,PG,Embessa,EMS
Edwaki Airport,PG,Yellow River Mission,XYR
Eliptamin Airport,PG,Eliptamin,EPT
Engati Airstrip,PG,Engati,EGA
Emo River Airstrip,PG,Emo Mission,EMO
Erume Airport,PG,Erume,ERU
Meselia Airport,PG,Demgulu,MFZ
Feramin Airport,PG,Feramin,FRQ
Frieda River Airport,PG,Frieda River,FAQ
Fuma Airport,PG,Fuma,FUM
Goroka Airport,PG,Goronka,GKA
Guari Airport,PG,Guari,GUG
Garasa Airport,PG,Au,GRL
Gurney Airport,PG,Gurney,GUR
Gusap Airport,PG,Gusap,GAP
Girua Airport,PG,Popondetta,PNP
Gasuke Airport,PG,Gasuke,GBC
Habi Airport,PG,Habi,HBD
Heiweni Airport,PG,Heiweni,HNI
Honinabi Airport,PG,Honinabi,HNN
Kimbe Airport,PG,Hoskins,HKN
Haivaro Airport,PG,Haivaro,HIT
Imane Airport,PG,Imane,IMN
Kungim Airport,PG,Kungim,KGM
Imonda Airport,PG,Imonda,IMD
Ialibu Airport,PG,Ialibu,IAL
Witu Airport,PG,Garove Island,WIU
Yongai Airport,PG,Yongai,KGH
Losuia Airport,PG,Losuia,LSA
Kopiago Airport,PG,Kopiago,KPA
Kiunga Airport,PG,Kiunga,UNG
Kanainj Airport,PG,Kanainj,KNE
Kikori Airport,PG,Kikori,KRI
Kerema Airport,PG,Kerema,KMA
Kar Kar Airport,PG,Kar Kar Island,KRX
Aropa Airport,PG,Kieta,KIE
Kuri Airport,PG,Kuri,KUQ
Kavieng Airport,PG,Kavieng,KVG
Londolovit Airport,PG,Londolovit,LNV
Lab Lab Airport,PG,Lab Lab Mission,LAB
Lowai Airport,PG,Lowai,LWI
Leron Plains Airport,PG,Leron Plains,LPN
Lese Airport,PG,Lese,LNG
Long Island Airport,PG,Long Island,LSJ
Yas Island Seaplane Base,AE,Abu Dhabi,AYM
Manari Airport,PG,Manari,MRM
Morobe Airport,PG,Morobe,OBM
Madang Airport,PG,Madang,MAG
Mount Hagen Kagamuga Airport,PG,Mount Hagen,HGU
Mougulu Airport,PG,Mougulu,GUV
Mendi Airport,PG,Mendi,MDU
Momote Airport,PG,Manus Island,MAS
Moro Airport,PG,Moro,MXH
Misima Island Airport,PG,Misima Island,MIS
Marawaka Airport,PG,Marawaka,MWG
Nankina Airport,PG,Gwarawon,NKN
Negarbo(Negabo) Airport,PG,Negarbo,GBF
Manguna Airport,PG,Manguna,MFO
Kasonombe Airport,PG,Kasonombe,KSB
Nomane Airport,PG,Namane,NMN
Nambaiyufa Airport,PG,Nambaiyufa,NBA
Nadzab Airport,PG,Lae,LAE
Konge Airport,PG,Konge,KGB
Oksapmin Airport,PG,Oksapmin,OKP
Komako Airport,PG,Komako,HOC
Komaio Airport,PG,Komaio,KCJ
Koroba Airport,PG,Koroba,KDE
Open Bay Airport,PG,Maitanakunai,OPB
Pangoa Airport,PG,Pangoa,PGB
Pangia Airport,PG,Pangia,PGN
Mapoda Airport,PG,Mapoda,MPF
Pumani Airport,PG,Pumani,PMN
Port Moresby Jacksons International Airport,PG,Port Moresby,POM
Sopu Airport,PG,Sopu,SPH
Sialum Airport,PG,Sialum,SXA
Rumginae Airport,PG,-,RMN
Karimui Airport,PG,Karimui,KMR
Maramuni Airport,PG,Maramuni,MWI
May River Airstrip,PG,May River,MRH
Suabi Airport,PG,-,SBE
Simberi Airport,PG,Simberi Island,NIS
Sila Airport,PG,Sila Mission,SIL
Sabah Airport,PG,Sabah,SBV
Simbai Airport,PG,Simbai,SIM
Selbang Airport,PG,Selbang,SBC
Sepik Plains Airport,PG,Sepik Plains,SPV
Sauren Airport,PG,Sauren,SXW
Masa Airport,PG,Masa,MBV
Tari Airport,PG,Tari,TIZ
Tabubil Airport,PG,Tabubil,TBG
Tapini Airport,PG,Tapini,TPI
Tokua Airport,PG,Tokua,RAB
Tekin Airport,PG,Tekin,TKW
Tep Tep Airport,PG,Teptep,TEP
Tsewi Airport,PG,Tsewi,TSW
Tarakbits Airport,PG,Tarakbits,TRJ
Tawa Airport,PG,Tawa,TWY
Tekadu Airport,PG,Tekadu,TKB
Aiyura Airport,PG,Aiyura Valley,AYU
Umba Airport,PG,Umba,UMC
Uroubi Airport,PG,Uroubi,URU
Upiara Airport,PG,Upiara,UPR
Uvol Airport,PG,Uvol,UVO
Talasea Airport,PG,Talasea,TLW
Torembi Airport,PG,Torembi,TCJ
Vanimo Airport,PG,Vanimo,VAI
Tonu Airport,PG,Tonu,TON
Wabo Airport,PG,Wabo,WAO
Wapenamanda Airport,PG,-,WBM
Wawoi Falls Airport,PG,Wavoi Falls,WAJ
Wewak International Airport,PG,Wewak,WWK
Wonenara Airport,PG,Wonenara,WOA
Wakunai Airport,PG,Wakunai,WKN
Wasu Airport,PG,Wasu,WSU
Woitape Airport,PG,Fatima Mission,WTP
Wau Airport,PG,Wau,WUG
Yeva Airport,PG,Yeva,YVD
Sim Airport,PG,Sim,SMJ
Weam Airport,PG,Weam,WEP
Arugam Bay SPB,LK,Pottuvil,AYY
Yalumet Airport,PG,Yalumet,KYX
Yasuru Airport,PG,Yasuru,KSX
Zahn's Airport,US,Amityville,AYZ
Wasum Airport,PG,Wasum,WUM
Zabrat Airport,AZ,Baku,ZXT
Lava Falls Heliport,US,Supai Village,HAE
Amazon Bay Airport,PG,-,AZB
Bali Airport,PG,Unea Island,BAJ
Baibara Airport,PG,Nabai,BAP
Branson Airport,US,Branson,BKG
Baca Grande Airfield,US,Crestone,BCJ
Bambu Airport,PG,Bambu,BCP
Benguera Island Airport,MZ,Benguera Island,BCW
Milyakburra Airport,AU,Bickerton Island,BCZ
Willmar Municipal -John L Rice Field,US,Willmar,ILL
Baindoung Airport,PG,-,BDZ
Bereina Airport,PG,Bereina Mission,BEA
Berlin Brandenburg Airport (U.C.),DE,Berlin,BER
Malevo Airport,BG,Haskovo,HKV
Bezmer Air Base,BG,Yambol,JAM
Aasiaat Airport,GL,Aasiaat,JEG
Aappilattoq (Qaasuitsup) Heliport,GL,Qaasuitsup,AOQ
Tasiilaq Heliport,GL,Tasiilaq,AGM
Alluitsup Paa Heliport,GL,Alluitsup Paa,LLU
Attu Heliport,GL,Attu,QGQ
Narsarsuaq Airport,GL,Narsarsuaq,UAK
Qasigiannguit Heliport,GL,Qasigiannguit,JCH
Neerlerit Inaat Airport,GL,Neerlerit Inaat,CNP
Dundas Airport,GL,Pituffik,DUN
Eqalugaarsuit Heliport,GL,Eqalugaarsuit,QFG
Godthaab / Nuuk Airport,GL,Nuuk,GOH
Qeqertarsuaq Heliport,GL,Qeqertarsuaq Airport,JGO
Iginniarfik,GL,Iginniarfik,QFI
Ikerassaarsuk Heliport,GL,Ikerassaarsuk,QRY
Ilimanaq Heliport,GL,Ilimanaq,XIQ
Innarsuit Heliport,GL,Innarsuit,IUI
Isortoq Heliport,GL,Isortoq,IOQ
Ikamiut Heliport,GL,Ikamiut,QJI
Qaqortoq Heliport,GL,Qaqortoq,JJU
Ilulissat Airport,GL,Ilulissat,JAV
Kangaatsiaq Heliport,GL,Kangaatsiaq,QPW
Kulusuk Airport,GL,Kulusuk,KUS
Kuummiut Heliport,GL,Kuummiut,KUZ
Kullorsuaq Heliport,GL,Kullorsuaq,KHQ
Kangersuatsiaq Heliport,GL,Kangersuatsiaq,KGQ
Kitsissuarsuit Heliport,GL,Kitsissuarsuit,QJE
Maniitsoq Airport,GL,Maniitsoq,JSU
Nanortalik Heliport,GL,Nanortalik,JNN
Narsaq Heliport,GL,Narsaq,JNS
Niaqornat Heliport,GL,Niaqornat,NIQ
Nuussuaq Heliport,GL,Nuussuaq,NSQ
Bongo Airport,GA,Bongo,BGP
Paamiut Airport,GL,Paamiut,JFR
Qeqertaq Heliport,GL,Qeqertaq,QQT
Qaanaaq Airport,GL,Qaanaaq,NAQ
Ittoqqortoormiit Heliport,GL,Ittoqqortoormiit,OBY
Kangerlussuaq Airport,GL,Kangerlussuaq,SFJ
Siorapaluk Heliport,GL,Siorapaluk,SRK
Saarloq Heliport,GL,-,QOQ
Sisimiut Airport,GL,Sisimiut,JHS
Savissivik Heliport,GL,Savissivik,SVR
Tasiusaq (Qaasuitsup) Heliport,GL,Upernavik,TQA
Thule Air Base,GL,Thule,THU
Tiniteqilaaq Heliport,GL,Tiniteqilaaq,TQI
Upernavik Airport,GL,Upernavik,JUV
Uummannaq Heliport,GL,Uummannaq,UMD
Qaarsut Airport,GL,Uummannaq,JQA
Ukkusissat Heliport,GL,Ukkusissat,JUK
BahÃ­a de los Ãngeles Airport,MX,BahÃ­a de los Ãngeles,BHL
Brighton Downs Airport,AU,-,BHT
Akureyri Airport,IS,Akureyri,AEY
Bildudalur Airport,IS,Bildudalur,BIU
BorgarfjÃ¶rÃ°ur eystri Airport,IS,BorgarfjÃ¶rÃ°ur eystri,BGJ
BakkafjÃ¶rÃ°ur Airport,IS,BakkafjÃ¶rÃ°ur,BJD
Hjaltabakki Airport,IS,BlÃ¶nduÃ³s,BLO
BÃºÃ°ardalur Airport,IS,BÃºÃ°ardalur,BQD
BreiÃ°dalsvÃ­k Airport,IS,BreiÃ°dalsvÃ­k,BXV
DjÃºpivogur Airport,IS,DjÃºpivogur,DJU
EgilsstaÃ°ir Airport,IS,EgilsstaÃ°ir,EGS
FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur Airport,IS,FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur,FAS
FagurhÃ³lsmÃ½ri Airport,IS,FagurhÃ³lsmÃ½ri,FAG
GrundarfjÃ¶rÃ°ur Airport,IS,GrundarfjÃ¶rÃ°ur,GUU
GjÃ¶gur Airport,IS,GjÃ¶gur,GJR
GrÃ­msey Airport,IS,GrÃ­msey,GRY
HÃ³lmavÃ­k Airport,IS,HÃ³lmavÃ­k,HVK
HornafjÃ¶rÃ°ur Airport,IS,HÃ¶fn,HFN
Holt Airport,IS,Flateyri,FLI
HÃºsavÃ­k Airport,IS,HÃºsavÃ­k,HZK
KrÃ³kstaÃ°armelar Airport,IS,Hvammstangi,HVM
IngjaldssanÃ°ur Airport,IS,OnundarfjÃ¶rÃ°ur,HLO
ÃsafjÃ¶rÃ°ur Airport,IS,ÃsafjÃ¶rÃ°ur,IFJ
Biliau Airport,PG,Biliau,BIJ
Keflavik International Airport,IS,ReykjavÃ­k,KEF
KÃ³pasker Airport,IS,KÃ³pasker,OPA
SauÃ°Ã¡rkrÃ³kur Airport,IS,SauÃ°Ã¡rkrÃ³kur,SAK
NorÃ°fjÃ¶rÃ°ur Airport,IS,NorÃ°fjÃ¶rÃ°ur,NOR
ÃlafsfjÃ¶rÃ°ur Airport,IS,ÃlafsfjÃ¶rÃ°ur,OFJ
PatreksfjÃ¶rÃ°ur Airport,IS,PatreksfjÃ¶rÃ°ur,PFJ
ReykhÃ³lar Airport,IS,ReykhÃ³lar,RHA
Rif Airport,IS,Rif,OLI
RaufarhÃ¶fn Airport,IS,RaufarhÃ¶fn,RFN
Reykjavik Airport,IS,Reykjavik,RKV
ReykjahlÃ­Ã° Airport,IS,Myvatn,MVA
SiglufjÃ¶rÃ°ur Airport,IS,SiglufjÃ¶rÃ°ur,SIJ
StykkishÃ³lmur Airport,IS,StykkishÃ³lmur,SYK
Ãingeyri Airport,IS,Ãingeyri,TEY
Thorshofn Airport,IS,Thorshofn,THO
Vestmannaeyjar Airport,IS,Vestmannaeyjar,VEY
VopnafjÃ¶rÃ°ur Airport,IS,VopnafjÃ¶rÃ°ur,VPN
Bimin Airport,PG,-,BIZ
Baleela Airport,SD,Baleela Base Camp,BJE
Bahja Airport,OM,Bahja,BJQ
Bentota River Waterdrome,LK,Bentota,BJT
PriÅ¡tina International Airport,XK,Prishtina,PRN
Bomai Airport,PG,Bomai,BMH
Bamburi Airport,KE,-,BMQ
Bamu Airport,PG,Bamu,BMZ
Baranof Warm Springs Float and Seaplane Base,US,Baranof,BNF
Bodinumu Airport,PG,Bodinumu,BNM
Baganga airport,PH,Baganga,BNQ
Bundi Airport,PG,Bundi,BNT
Boana Airport,PG,Boana,BNV
Banz Airport,PG,Banz,BNZ
Rurenabaque Airport,BO,Rurenabaque,RBQ
Baures Airport,BO,Baures,BVL
Bolling Air Force Base,US,Washington,BOF
Brookings Airport,US,Brookings,BOK
Boku Airport,PG,Boku,BOQ
Bosset Airport,PG,Bosset,BOT
Boang Airport,PG,Boang Island,BOV
Batuna Aerodrome,SB,Batuna Mission Station,BPF
Bartlett Cove Seaplane Base,US,Gustavus,BQV
TucumÃ£ Airport,BR,TucumÃ£,TUZ
Alenquer Airport,BR,Alenquer,ALT
Suia-Missu Airport,BR,Alto Boa Vista,SWM
Whitesburg Municipal Airport,US,Whitesburg,BRG
Bimini North Seaplane Base,BS,Bimini,NSB
Bensbach Airport,PG,Bensbach,BSP
Besakoa Airport,MG,Besakoa,BSV
Bulolo Airport,PG,Bulolo,BUL
Bolovip Airstrip,PG,Bolovip,BVP
Esperadinha Airport,CV,Brava Island,BVR
Hukuntsi Airport,BW,Hukuntsi,HUK
Bawan Airport,PG,-,BWJ
Bewani Airport,PG,Bewani,BWP
Blue Lagoon Seaplane Base,FJ,Nanuya Lailai Island,BXL
Bunsil Airport,PG,Bunsil - Umboi Island,BXZ
Boundary Airport,US,Boundary,BYA
Bella Yella Airport,LR,Beliyela,BYL
Beira Lake Seaplane Base,LK,Colombo,BYV
Hector Silva Airstrip,BZ,Belmopan,BCV
Big Creek Airport,BZ,Big Creek,BGK
Caye Caulker Airport,BZ,Caye Caulker,CUK
Caye Chapel Airport,BZ,Caye Chapel,CYC
Corozal Municipal Airport,BZ,Corozal,CZH
Dangriga Airport,BZ,Dangriga,DGA
Independence Airport,BZ,Independence,INB
Melinda Airport,BZ,Melinda,MDB
Orange Walk Airport,BZ,Orange Walk,ORZ
Placencia Airport,BZ,Placencia,PLJ
Punta Gorda Airport,BZ,Punta Gorda,PND
Sartaneja Airport,BZ,Sartaneja,SJX
San Pedro Airport,BZ,San Pedro,SPR
Matthew Spain Airport,BZ,San Ignacio,SQS
Santa Cruz Airport,BZ,Santa Cruz,STU
Silver Creek Airport,BZ,Silver Creek,SVK
Belize City Municipal Airport,BZ,Belize City,TZA
Bazaruto Island Airport,MZ,Bazaruto Island,BZB
Bemolanga Airport,MG,Bemolanga,BZM
Buzzards Point Seaplane Base,US,Washington,BZS
Blissville Airport,CA,Blissville,YYS
Clinton Creek Airport,CA,Clinton Creek Mine,YLM
Deception Airport,CA,-,YGY
Lady Franklin Point Airport,CA,-,YUJ
Lupin Airport,CA,Lupin Mine,YWO
Moose Lake Airport,CA,-,YAD
Mould Bay Airport,CA,Prince Patrick Is.,YMD
Paradise River Airport,CA,-,YDE
Rivers Airport,CA,-,YYI
Saglek Airport,CA,RCAF Station Saglek,YSV
Terrace Bay Airport,CA,Terrace Bay- ON,YTJ
Winisk Airport,CA,Winisk,YWN
Stuart Island Airstrip,CA,Big Bay,YRR
Mary River Aerodrome,CA,-,YMV
Bedwell Harbour Seaplane Base,CA,Bedwell Harbour,YBW
Tofino Harbour Seaplane Base,CA,Tofino Harbour,YTP
Bronson Creek Airport,CA,Bronson Creek,YBM
Alice Arm/Silver City Seaplane Base,CA,-,ZAA
Nanaimo Harbour Water Airport,CA,Nanaimo,ZNA
Trail Airport,CA,Trail,YZZ
Merritt Airport,CA,Merritt,YMB
Campbell River Seaplane Base,CA,Campbell River,YHH
Whistler/Green Lake Water Aerodrome,CA,Whistler,YWS
Bamfield Seaplane Base,CA,Bamfield,YBF
Big Bay Seaplane Base,CA,Stuart Island,YIG
Chilko Lake (Tsylos Park Lodge) Airport,CA,Chilko Lake,CJH
Pender Harbour Seaplane Base,CA,-,YPT
Ocean Falls Seaplane Base,CA,Ocean Falls,ZOF
Courtenay Airpark,CA,Courtenay,YCA
Creston Valley Regional Airport - Art Sutcliffe Field,CA,Creston,CFQ
Anahim Lake Airport,CA,Anahim Lake,YAA
Douglas Lake Airport,CA,Douglas Lake,DGF
Fort MacKay/Albian Aerodrome,CA,Albian Village,JHL
Tahsis Seaplane Base,CA,Tahsis,ZTS
Duncan Airport,CA,Duncan,DUQ
Port Simpson Seaplane Base,CA,Lax Kw'alaams,YPI
Sechelt-Gibsons Airport,CA,Sechelt,YHS
Kitkatla Seaplane Base,CA,Kitkatla,YKK
Powell Lake Seaplane Base,CA,-,WPL
Qualicum Beach Airport,CA,Qualicum Beach,XQU
Port Mcneill Airport,CA,Port Mcneill,YMP
Rivers Inlet Seaplane Base,CA,Rivers Inlet,YRN
Sullivan Bay Seaplane Base,CA,Sullivan Bay,YTG
Mansons Landing Seaplane Base,CA,-,YMU
Mayne Island Seaplane Base,CA,Miners Bay,YAV
Bella Bella/Shearwater Seaplane Base,CA,Bella Bella,YSX
Ganges Seaplane Base,CA,Salt Spring Island,YGG
Hartley Bay Seaplane Base,CA,Hartley Bay,YTB
Cache Creek-Ashcroft Regional Airport,CA,Cache Creek,YZA
Bella Bella (Campbell Island) Airport,CA,Bella Bella,ZEL
Cherrabun Airport,AU,-,CBC
Telegraph Creek Airport,CA,Telegraph Creek,YTX
Alberni Valley Regional Airport,CA,Port Alberni,YPB
Bob Quinn Lake Airport,CA,Bob Quinn Lake,YBO
Tungsten (Cantung) Airport,CA,Tungsten,TNS
Tumbler Ridge Airport,CA,Tumbler Ridge,TUX
